iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,reproduction_rate,population,population_density,gdp_per_capita,life_expectancy
IRQ,Asia,Iraq,2022-01-09,2097540.0,24207.0,50936.694,nan,41179351.0,88.125,15663.986,70.6
IRL,Europe,Ireland,2022-01-09,978104.0,5952.0,196291.961,nan,4982904.0,69.874,67335.293,82.3
IMN,Europe,Isle of Man,2022-01-09,18274.0,68.0,213956.211,nan,85410.0,147.872,nan,81.4
ISR,Asia,Israel,2022-01-09,1503082.0,8269.0,161778.28,nan,9291000.0,402.606,33132.32,82.97
ITA,Europe,Italy,2022-01-09,7436939.0,139038.0,123194.477,nan,60367471.0,205.859,35220.084,83.51
JAM,North America,Jamaica,2022-01-09,102505.0,2499.0,34473.284,nan,2973462.0,266.879,8193.571,74.47
JPN,Asia,Japan,2022-01-09,1764280.0,18399.0,13996.58,nan,126050796.0,347.778,39002.223,84.63
JEY,Europe,Jersey,2022-01-02,nan,nan,nan,nan,101073.0,nan,nan,nan
JOR,Asia,Jordan,2022-01-09,1047953.0,12372.0,102049.932,nan,10269022.0,109.285,8337.49,74.53
KAZ,Asia,Kazakhstan,2022-01-09,1081758.0,18274.0,56949.744,nan,18994958.0,6.681,24055.588,73.6
KEN,Africa,Kenya,2022-01-09,311538.0,5446.0,5665.8,nan,54985702.0,87.324,2993.028,66.7
KIR,Oceania,Kiribati,2022-01-09,2.0,nan,16.476,nan,121388.0,143.701,1981.132,68.37
OWID_KOS,Europe,Kosovo,2022-01-09,162677.0,2991.0,91283.11,nan,1782115.0,168.155,9795.834,nan
KWT,Asia,Kuwait,2022-01-09,433919.0,2471.0,100245.74,nan,4328553.0,232.128,65530.537,75.49
KGZ,Asia,Kyrgyzstan,2022-01-09,185867.0,2818.0,28041.23,nan,6628347.0,32.333,3393.474,71.45
LAO,Asia,Laos,2022-01-09,118880.0,437.0,16109.803,nan,7379358.0,29.715,6397.36,67.92
LVA,Europe,Latvia,2022-01-09,287851.0,4658.0,154183.812,nan,1866934.0,31.212,25063.846,75.29
LBN,Asia,Lebanon,2022-01-09,774180.0,9283.0,114368.848,nan,6769151.0,594.561,13367.565,78.93
LSO,Africa,Lesotho,2022-01-09,31106.0,683.0,14407.149,nan,2159067.0,73.562,2851.153,54.33
LBR,Africa,Liberia,2022-01-09,6851.0,287.0,1322.534,nan,5180208.0,49.127,752.788,64.1
LBY,Africa,Libya,2022-01-09,393447.0,5788.0,56541.618,nan,6958538.0,3.623,17881.509,72.91
LIE,Europe,Liechtenstein,2022-01-09,6658.0,71.0,174047.158,nan,38254.0,237.012,nan,82.49
LTU,Europe,Lithuania,2022-01-09,542304.0,7543.0,201610.343,nan,2689862.0,45.135,29524.265,75.93
OWID_LIC,nan,Low income,2022-01-09,1665266.0,38926.0,2503.598,nan,665149040.0,nan,nan,nan
OWID_LMC,nan,Lower middle income,2022-01-09,66849469.0,1203552.0,20070.982,nan,3330652550.0,nan,nan,nan
LUX,Europe,Luxembourg,2022-01-09,112203.0,922.0,176749.41,nan,634814.0,231.447,94277.965,82.25
MAC,Asia,Macao,2022-01-09,79.0,nan,119.989,nan,658391.0,20546.766,104861.851,84.24
MDG,Africa,Madagascar,2022-01-09,54101.0,1117.0,1903.133,nan,28427333.0,43.951,1416.44,67.04
MWI,Africa,Malawi,2022-01-09,79987.0,2413.0,4071.066,nan,19647681.0,197.519,1095.042,64.26
MYS,Asia,Malaysia,2022-01-09,2786219.0,31678.0,85007.396,nan,32776195.0,96.254,26808.164,76.16
MDV,Asia,Maldives,2022-01-09,98052.0,264.0,180368.64,nan,543620.0,1454.433,15183.616,78.92
MLI,Africa,Mali,2022-01-09,25197.0,672.0,1208.158,nan,20855724.0,15.196,2014.306,59.31
MLT,Europe,Malta,2022-01-09,60386.0,487.0,117004.457,nan,516100.0,1454.037,36513.323,82.53
MHL,Oceania,Marshall Islands,2022-01-09,7.0,nan,117.414,nan,59618.0,295.15,3819.202,73.7
MRT,Africa,Mauritania,2022-01-09,49006.0,886.0,10262.8,nan,4775110.0,4.289,3597.633,64.92
MUS,Africa,Mauritius,2022-01-09,24051.0,240.0,18886.816,nan,1273428.0,622.962,20292.745,74.99
MEX,North America,Mexico,2022-01-09,4125388.0,300334.0,31669.873,nan,130262220.0,66.444,17336.469,75.05
FSM,Oceania,Micronesia (country),2022-01-09,1.0,nan,8.602,nan,116255.0,150.777,3299.464,67.88
MDA,Europe,Moldova,2022-01-09,380290.0,10363.0,94504.88,nan,4024025.0,123.655,5189.972,71.9
MCO,Europe,Monaco,2022-01-09,5593.0,42.0,141523.279,nan,39520.0,19347.5,nan,86.75
MNG,Asia,Mongolia,2022-01-09,395129.0,2074.0,118682.947,nan,3329282.0,1.98,11840.846,69.87
MNE,Europe,Montenegro,2022-01-09,190279.0,2442.0,302967.434,nan,628051.0,46.28,16409.288,76.88
MSR,North America,Montserrat,2022-01-09,114.0,1.0,22886.97,nan,4981.0,nan,nan,74.16
MAR,Africa,Morocco,2022-01-09,1002084.0,14911.0,26833.303,nan,37344787.0,80.08,7485.013,76.68
MOZ,Africa,Mozambique,2022-01-09,210399.0,2085.0,6541.638,nan,32163045.0,37.728,1136.103,60.85
MMR,Asia,Myanmar,2022-01-09,532062.0,19291.0,9708.095,nan,54806014.0,81.721,5591.597,67.13
NAM,Africa,Namibia,2022-01-09,152390.0,3724.0,58898.237,nan,2587344.0,3.078,9541.808,63.71
NRU,Oceania,Nauru,2021-08-31,nan,nan,nan,nan,10873.0,682.45,12895.635,59.96
NPL,Asia,Nepal,2022-01-09,832589.0,11604.0,28056.992,nan,29674920.0,204.43,2442.804,70.78
NLD,Europe,Netherlands,2022-01-09,3349838.0,21155.0,195063.161,nan,17173094.0,508.544,48472.545,82.28
NCL,Oceania,New Caledonia,2022-01-09,13116.0,281.0,45507.378,nan,288217.0,15.342,nan,77.55
NZL,Oceania,New Zealand,2022-01-09,14733.0,51.0,2876.079,nan,5122600.0,18.206,36085.843,82.29
NIC,North America,Nicaragua,2022-01-09,17526.0,218.0,2614.892,nan,6702379.0,51.667,5321.444,74.48
NER,Africa,Niger,2022-01-09,8006.0,280.0,318.573,nan,25130810.0,16.955,926.0,62.42
NGA,Africa,Nigeria,2022-01-09,248312.0,3077.0,1174.603,nan,211400704.0,209.588,5338.454,54.69
NIU,Oceania,Niue,2021-08-02,nan,nan,nan,nan,1614.0,nan,nan,73.71
OWID_NAM,North America,North America,2022-01-09,70899323.0,1236086.0,118842.688,nan,596581283.0,nan,nan,nan
MKD,Europe,North Macedonia,2022-01-09,233464.0,8032.0,112098.897,nan,2082661.0,82.6,13111.214,75.8
OWID_CYN,Asia,Northern Cyprus,2021-11-26,nan,nan,nan,nan,nan,nan,nan,nan
NOR,Europe,Norway,2022-01-09,444368.0,1350.0,81302.262,nan,5465629.0,14.462,64800.057,82.4
